model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch,runtime_sec
GCN,3,23402,0.5,0.001,10.539603233337402,-1,3486.074375643562
GCN,3,23402,0.5,0.01,11.126423835754395,-1,7528.265170588224
GCN,3,23402,0.5,0.05,11.024969100952148,-1,4270.53074363635
GCN,4,5850,0.01,0.0001,10.471902847290039,-1,356.85509178217785
GCN,4,5850,0.01,0.001,10.83775806427002,-1,356.126445841592
GCN,4,5850,0.01,0.01,11.515884399414062,-1,349.80460304346786
GCN,4,5850,0.01,0.05,11.129199028015137,-1,340.88862857142453
GCN,4,5850,0.2,0.0001,10.540205955505371,-1,356.51779910890986
GCN,4,5850,0.2,0.001,10.734387397766113,-1,356.86965809523133
GCN,4,5850,0.2,0.01,11.134615898132324,-1,349.87850545453097
GCN,4,5850,0.2,0.05,11.494068145751953,-1,346.6172677776841
GCN,4,5850,0.5,0.0001,10.412527084350586,-1,356.7100908910962
GCN,4,5850,0.5,0.001,10.993778228759766,-1,355.3597566336687
GCN,4,5850,0.5,0.01,11.808372497558594,-1,351.841609999974
GCN,4,5850,0.5,0.05,10.923849105834961,-1,342.8408650000165
GCN,4,11701,0.01,0.0001,10.559926986694336,-1,585.6713073267337
GCN,4,11701,0.01,0.001,11.039609909057617,-1,598.7335133333545
GCN,4,11701,0.01,0.01,11.376710891723633,-1,602.0379300000578
GCN,4,11701,0.01,0.05,10.89450454711914,-1,571.9168361538323
GCN,4,11701,0.2,0.0001,10.45398235321045,-1,585.7648258415883
GCN,4,11701,0.2,0.001,11.38121223449707,-1,602.7069275000031
GCN,4,11701,0.2,0.01,10.913578987121582,-1,574.1598573333532
GCN,4,11701,0.2,0.05,11.53550910949707,-1,584.8333700000446
GCN,4,11701,0.5,0.0001,10.444936752319336,-1,584.0348839603934
GCN,4,11701,0.5,0.001,10.82225227355957,-1,583.5765977227734
GCN,4,11701,0.5,0.01,11.359248161315918,-1,597.9429685714422
GCN,4,11701,0.5,0.05,11.012040138244629,-1,573.5248260714538
